codevehicule,nom,fabricant,immat,observ,statut,motif,vidange,marge,total,image,image_avant,image_droite,image_gauche,descr,codetvehicule,codecvehicule,codesecteur,datecreated,dateupdated,etat,card,ord,image_arriere,pvidange,datelimassur,datelimvisite,datelimcarteg,datelimstat,fichier1,fichier2,fichier3,fichier4,fichier5,fichier6,fichier7,fichier8,details,position,longitude,latitude,prixpjour,prixpheure,prixpkm,location,reservation,dpc,garage,transmat,agentchauffeur,timecreated,timeupdated
vehic982024000000051,HOWO TRUCK BENNE 5,HOWO,CE 253 NX,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-22,1,0,51,,,,2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:01:02
vehic982024000000052,RENAULT CITERNE A CARBURANT,RENAULT,AD 993 AP,,1,,10000,200,93378,binary data,,,,,tvehi294202400000003,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-21,1,0,52,,,2024-12-14,2025-03-30,2024-12-21,2024-12-30,,,,,,,,,,,,,,,,,,,,,,11:28:13,12:17:33
vehic982024000000053,CARMIX CONCRETE MIXER,CARMIX,CESE 168 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,,2024-08-09,2024-10-22,1,0,53,,,2024-12-14,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:12:07
vehic982024000000054,HYSTER 5.00,HYSTER,LTSE 806 AE,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,,2024-08-09,2024-08-11,1,0,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,10:17:43
vehic982024000000055,EXCAVATOR DOOSAN 4,EXCAVATOR,CESE 081 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-22,1,0,55,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:38:14
vehic982024000000056,EXCAVATOR DOOSAN 7,EXCAVATOR,CESE 083 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-23,1,1,56,,,2024-11-08,,,,,,,,,,,,,,,,10000.0,1000.0,100.0,,,,,,,11:28:13,09:42:06
vehic982024000000057,BACKHOE JCB,BACKHOE,CESE 086 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-23,1,0,57,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,09:51:44
vehic982024000000058,BACKHOE  432 f,BACKHOE,CESE 080 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,,2024-08-09,2024-10-23,1,0,58,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,09:43:40
vehic982024000000059,LOADER 966H,LOADER,CESE 087 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,,2024-08-09,2024-10-22,1,0,59,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:07:36
vehic982024000000060,EXCAVATRICE CAT A ROUES 318D,EXCAVATRICE,CESE 867 AC,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,,2024-08-09,2024-10-22,1,0,60,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:06:40
vehic982024000000061,BULLDOSER D7G 2,BULLDOSER,CESE 088 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,,2024-08-09,2024-10-22,1,0,61,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:06:00
vehic982024000000062,BULLDOSER D7G 1,BULLDOSER,CESE 630 BB,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-22,1,0,62,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,17:08:19
vehic982024000000063,GRADER 130G,GRADER,CESE 084 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-23,1,0,63,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,09:42:58
vehic982024000000064,FINISHER DINAPAC,FINISHER,CESE 085 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-08-09,1,0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,19:41:48
vehic982024000000065,MANITOU 1,MANITOU,LTSE 521 AG,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-22,1,0,65,,,2024-11-08,,2024-12-04,,,,,,,,,,,,,,,,,,,,,,,11:28:13,14:58:11
vehic982024000000066,MANITOU 2,MANITOU,CESE 089 AD,,4,,10000,200,6652,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-22,2,31,66,,86934.0,2024-11-08,,2025-01-15,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:00:32
vehic982024000000067,COMPACTOR CAT CS663,COMPACTOR,CESE 079 AD,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-23,1,1,67,,,2024-11-08,,,,,,,,,,,,,,,,25000.0,492.0,,,,,,,,11:28:13,09:46:45
vehic982024000000068,ELEVATOR HAULOTTE ROUGE ATI 2,ELEVATOR,ADSE 115 AA,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,secte317202400000002,2024-08-09,2024-10-22,1,1,68,,,2024-11-08,,,,,,,,,,,,,,,,10000.0,1000.0,,,,,,,,11:28:13,15:54:37
vehic982024000000069,ELEVATOR HAULOTTE JAUNE ATI 1,ELEVATOR,CESE 477 BB,,1,,10000,200,93378,binary data,,,,,tvehi672024000000001,cvehi672024000000001,,2024-08-09,2024-10-22,1,0,69,,,2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,11:28:13,15:54:00
